num_clauses,num_vars,num_literals,temps,memUsage
2702000,19,2,0.016000,43231784
2704000,9,3,0.000000,43274384
2706000,9,3,0.000000,43292772
2708000,41,1,0.000000,43325216
2710000,23,2,0.000000,43359784
2712000,46,2,0.000000,43388512
2714000,17,2,0.000000,43417312
2716000,45,3,0.000000,43450740
2718000,25,1,0.000000,43492344
2720000,12,3,0.000000,43515324
2722000,18,3,0.000000,43556472
2724000,11,2,0.000000,43585092
2726000,2,1,0.000000,43621000
2728000,16,3,0.000000,43642416
2730000,46,1,0.000000,43679128
2732000,12,3,0.000000,43705444
2734000,45,2,0.000000,43751000
2736000,44,2,0.000000,43766716
2738000,41,2,0.000000,43808620
2740000,32,1,0.000000,43836332
2742000,27,2,0.000000,43876768
2744000,34,1,0.000000,43900060
2746000,30,3,0.000000,43931828
2748000,1,3,0.000000,43973676
2750000,21,3,0.015000,43997588
2752000,12,3,0.000000,44031548
2754000,46,3,0.015000,44063768
2756000,43,3,0.000000,44089076
2758000,29,2,0.000000,44123964
2760000,38,1,0.000000,44147876
2762000,3,2,0.000000,44194888
2764000,33,1,0.015000,44224616
2766000,47,1,0.000000,44257008
2768000,7,3,0.000000,44294596
2770000,35,3,0.000000,44323996
2772000,21,2,0.000000,44349060
2774000,23,3,0.000000,44391840
2776000,34,1,0.000000,44419112
2778000,7,2,0.000000,44448764
2780000,23,3,0.000000,44480616
2782000,25,2,0.000000,44517924
2784000,41,1,0.000000,44536968
2786000,45,2,0.000000,44565836
2788000,31,2,0.000000,44608660
2790000,17,3,0.000000,44634744
2792000,24,1,0.000000,44671252
2794000,40,1,0.000000,44709552
2796000,44,1,0.000000,44739724
2798000,2,1,0.000000,44761596
2800000,33,3,0.000000,44799068
2802000,13,3,0.000000,44831480
2804000,3,3,0.000000,44876016
2806000,6,3,0.000000,44893456
2808000,37,3,0.000000,44930928
2810000,15,2,0.000000,44957656
2812000,6,1,0.000000,44991660
2814000,13,1,0.000000,45025008
2816000,29,2,0.000000,45056296
2818000,34,2,0.000000,45089892
2820000,10,3,0.000000,45121708
2822000,5,3,0.000000,45153456
2824000,40,2,0.000000,45187276
2826000,27,1,0.000000,45206088
2828000,38,1,0.000000,45254228
2830000,32,1,0.000000,45265412
2832000,35,2,0.000000,45313180
2834000,35,2,0.000000,45342380
2836000,13,1,0.000000,45375108
2838000,4,2,0.000000,45405960
2840000,48,3,0.000000,45449060
2842000,20,2,0.000000,45473376
2844000,33,1,0.000000,45501084
2846000,19,2,0.000000,45533592
2848000,50,1,0.000000,45577664
2850000,20,3,0.000000,45603528
2852000,17,1,0.000000,45634292
2854000,31,3,0.000000,45664732
2856000,49,3,0.000000,45702728
2858000,50,2,0.000000,45733544
2860000,49,1,0.000000,45762716
2862000,5,2,0.000000,45789112
2864000,30,3,0.000000,45817424
2866000,1,3,0.000000,45856308
2868000,49,2,0.000000,45888368
2870000,38,3,0.000000,45906728
2872000,14,2,0.000000,45948076
2874000,39,1,0.000000,45995268
2876000,8,2,0.000000,46009672
2878000,47,2,0.000000,46044064
2880000,9,2,0.001000,46075468
2882000,8,1,0.000000,46117732
2884000,29,2,0.000000,46142304
2886000,48,3,0.000000,46176408
2888000,46,2,0.000000,46204628
2890000,13,2,0.000000,46235780
2892000,13,2,0.000000,46269564
2894000,24,1,0.000000,46301016
2896000,12,2,0.000000,46333500
2898000,30,2,0.000000,46359472
2900000,38,3,0.000000,46394032
2902000,39,1,0.000000,46437404
2904000,9,3,0.000000,46471500
2906000,22,1,0.000000,46489156
2908000,50,2,0.000000,46525056
2910000,27,3,0.000000,46558668
2912000,27,3,0.000000,46581792
2914000,49,1,0.000000,46616368
2916000,37,2,0.000000,46660596
2918000,38,3,0.000000,46696820
2920000,38,1,0.000000,46719628
2922000,9,3,0.000000,46750168
2924000,15,2,0.000000,46783084
2926000,1,3,0.000000,46803488
2928000,49,1,0.000000,46840504
2930000,26,2,0.000000,46877908
2932000,41,3,0.000000,46909212
2934000,6,1,0.000000,46948248
2936000,25,2,0.000000,46978732
2938000,35,2,0.000000,47012884
2940000,39,3,0.015000,47038448
2942000,28,1,0.000000,47075084
2944000,22,3,0.000000,47092828
2946000,19,2,0.000000,47135612
2948000,46,2,0.000000,47159424
2950000,32,1,0.000000,47206532
2952000,46,2,0.000000,47231500
2954000,24,2,0.000000,47267176
2956000,38,2,0.000000,47297592
2958000,34,2,0.000000,47321800
2960000,22,2,0.000000,47358752
2962000,20,3,0.000000,47398596
2964000,11,2,0.000000,47426388
2966000,50,3,0.000000,47456868
2968000,29,2,0.000000,47492940
2970000,37,2,0.000000,47528056
2972000,24,3,0.000000,47563892
2974000,33,2,0.001000,47583200
2976000,33,3,0.000000,47617744
2978000,17,3,0.000000,47651092
2980000,40,2,0.000000,47679456
2982000,34,2,0.000000,47708340
2984000,37,3,0.000000,47748356
2986000,40,1,0.000000,47783404
2988000,10,2,0.000000,47803628
2990000,49,2,0.000000,47844500
2992000,40,2,0.000000,47873584
2994000,18,2,0.000000,47892464
2996000,28,2,0.000000,47930232
2998000,48,2,0.000000,47973552
3000000,24,2,0.000000,47995684
3002000,25,3,0.000000,48029832
3004000,9,2,0.000000,48046684
3006000,18,1,0.000000,48099256
3008000,42,2,0.000000,48123160
3010000,24,1,0.000000,48164832
3012000,14,3,0.000000,48192092
3014000,32,3,0.000000,48215988
3016000,17,3,0.000000,48256404
3018000,47,3,0.000000,48284732
3020000,17,3,0.000000,48332020
3022000,8,1,0.000000,48347848
3024000,8,2,0.000000,48377184
3026000,25,2,0.000000,48410560
3028000,32,1,0.000000,48442700
3030000,13,1,0.000000,48492076
3032000,46,1,0.000000,48514016
3034000,33,2,0.000000,48554848
3036000,32,1,0.000000,48568756
3038000,34,2,0.000000,48608484
3040000,6,1,0.000000,48639624
3042000,47,2,0.000000,48680952
3044000,50,3,0.000000,48704264
3046000,39,3,0.000000,48736048
3048000,49,3,0.000000,48773232
3050000,7,3,0.000000,48795436
3052000,3,3,0.000000,48830848
3054000,7,3,0.000000,48861844
3056000,6,3,0.000000,48896688
3058000,38,1,0.000000,48934440
3060000,38,1,0.000000,48965060
3062000,2,2,0.000000,48988072
3064000,31,2,0.000000,49021056
3066000,20,1,0.000000,49048264
3068000,15,1,0.000000,49093280
3070000,14,3,0.006000,49119500
3072000,38,3,0.000000,49141204
3074000,25,2,0.000000,49182496
3076000,33,1,0.000000,49214012
3078000,6,1,0.000000,49243392
3080000,7,1,0.000000,49282080
3082000,24,1,0.000000,49299792
3084000,34,1,0.000000,49342176
3086000,6,3,0.000000,49374348
3088000,43,1,0.000000,49408776
3090000,13,2,0.000000,49438756
3092000,11,2,0.000000,49467644
3094000,26,3,0.000000,49517512
3096000,37,1,0.000000,49533596
3098000,37,3,0.000000,49564000
3100000,31,3,0.000000,49591740
3102000,16,3,0.000000,49617528
3104000,10,3,0.000000,49671992
3106000,35,1,0.000000,49696580
3108000,22,1,0.000000,49727320
3110000,49,2,0.000000,49769344
3112000,13,1,0.000000,49797968
3114000,25,3,0.000000,49822624
3116000,31,3,0.000000,49847828
3118000,7,2,0.016000,49890004
3120000,38,3,0.000000,49917148
3122000,36,1,0.000000,49957768
3124000,26,1,0.005000,49987748
3126000,22,3,0.000000,50013264
3128000,39,1,0.000000,50043116
3130000,20,2,0.016000,50089068
3132000,41,3,0.000000,50117892
3134000,43,1,0.000000,50145896
3136000,34,3,0.000000,50177696
3138000,48,2,0.000000,50202144
3140000,45,2,0.000000,50243520
3142000,5,3,0.000000,50276052
3144000,22,2,0.000000,50305444
3146000,15,1,0.000000,50338256
3148000,35,1,0.000000,50358256
3150000,30,3,0.004000,50410412
3152000,10,1,0.000000,50423356
3154000,17,3,0.000000,50466916
3156000,37,2,0.000000,50497256
3158000,42,1,0.000000,50521628
3160000,35,1,0.000000,50569536
3162000,31,2,0.012000,50593552
3164000,47,3,0.000000,50629472
3166000,5,1,0.000000,50651460
3168000,35,2,0.000000,50683372
3170000,37,1,0.000000,50719408
